"","title","url_wishlist","addresses","lon","lat","good_address","lat_booking","long_booking","loc_track","cumdist","dist"
"2","Hotel 20Rooms, Vantaa, Finland","https://www.booking.com/hotel/fi/20rooms.html?aid=356980","Kylaekaivontie 6, 01350 Vantaa, Finland",25.0439806,60.3033207,TRUE,60.3033207,25.0439806,212,6495.46613096621,6495.46613096621
"13","Guesthouse Ulrikanhovi, Lovisa, Finland","https://www.booking.com/hotel/fi/ulrikanhovi.html?aid=356980","Kuhlefeltinkatu 35, 07940 Lovisa, Finland",26.2439591,60.4625379,TRUE,60.4627719,26.2440044,1671,92444.824788825,85949.3586578588
"12","SpaHotel Hamina, Finland","https://www.booking.com/hotel/fi/best-western-hamina.html?aid=356980","Sibeliuskatu 32, 49400 Hamina, Finland",27.1908285,60.5670355,TRUE,60.5673635,27.1902421,2650,152366.352401247,59921.5276124223
"4","Motel Medved, Torfyanovka, Russia","https://www.booking.com/hotel/ru/motel-medved.html?aid=356980","51 km Shosse Vyborg-Torfyanofka, 188908 Torfyanovka, Russia",27.9331347,60.5945633,FALSE,60.5918967,27.9596653,3651,208004.420105182,55638.0677039351
"11","Monrepoapart Apartment, Vyborg, Russia","https://www.booking.com/hotel/ru/apartamienty-monriepoapart.html?aid=356980","Ulitsa Ardasheva 17 , 188800 Vyborg, Russia",28.7571571,60.7139529,FALSE,60.7253188,28.7329767,4149,258145.236348117,50140.8162429351
"5","Ecohotel Les, Poselok Zerkalniy, Russia","https://www.booking.com/hotel/ru/eco-hotel-les.html?aid=356980","Yuzhniy Bereg ozera Zerkalnoye, 190000 Poselok Zerkalniy, Russia",NA,NA,FALSE,60.2245235,29.1459453,5281,337626.13769989,79480.9013517729
"10","Guest House Le Chalet, Reshetnikovo, Russia","https://www.booking.com/hotel/ru/guest-house-le-chalet.html?aid=356980","Застройщиков Коттеджи, 197720 Reshetnikovo, Russia",29.712293,60.23222,TRUE,60.2322203,29.7122927,5773,377624.462925182,39998.3252252921
"9","Mini Hotel Nevskaya Classica, Saint Petersburg, Russia","https://www.booking.com/hotel/ru/minihotel-st-petersburg.html?aid=356980","Nevskiy prospekt, 3, app. 8, Tsentralny, 191186 Saint Petersburg, Russia",30.3259113,59.9383162,FALSE,59.9369264,30.3127147,6773,437520.615562663,59896.1526374805
"8","Guesthouse Truveller House F&amp;F, Peterhof, Russia","https://www.booking.com/hotel/ru/dom-truvellere-f-amp-f.html?aid=356980","Sankt-Peterburgskiy pereulok 42, 198504 Peterhof, Russia",29.9090618,59.8798676,TRUE,59.8799295,29.9089223,7379,468510.06523627,30989.4496736068
"3","Pierhouse Hotel, Lomonosov, Russia","https://www.booking.com/hotel/ru/pierhouse.html?aid=356980","Naberezhnaya Sidorovskogo Kanala 3, 198412 Lomonosov, Russia",29.774533,59.919233,TRUE,59.9192923,29.7745675,7488,474295.94838989,5785.88315362035
"1","Ust&#39;-luga hostel-motel, Kingisepp, Russia","https://www.booking.com/hotel/ru/ust-39-luga-hostel-motel.html?aid=356980","Д.Котлы, 188467 Kingisepp, Russia",28.7513629,59.6038352,TRUE,59.6036823,28.7506735,8087,555558.64444594,81262.6960560497
"7","Haaviku Nature Lodge, Sagadi, Estonia","https://www.booking.com/hotel/ee/haaviku-holiday-home.html?aid=356980","Haaviku, Tepelvälja küla, 45403 Sagadi, Estonia",26.0818789,59.537721,FALSE,59.5605057,26.0910702,10167,766855.457855695,211296.813409756
"6","OldHouse Hostel, Tallinn, Estonia","https://www.booking.com/hotel/ee/oldhouse-hostel.html?aid=356980","Uus 26, Tallinn City Center, 10111 Tallinn, Estonia",24.7498517,59.4407978,TRUE,59.440837,24.7497404,11498,861766.601498898,94911.1436432028
